x,y,h3_id,redevelopment_score,zoning_score,current_use_score,ownership_score,improvements_score,total_coverage
-124.31314274065532,41.400647350281446,88280341b7fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.47547653889214,41.4044042640496,8828034513fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.45724836154989,41.40161993123035,8828034515fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.46489968806863,41.40701492306604,8828034517fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.41785750600788,41.404046629949185,8828034521fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.42550897719951,41.409444794197434,8828034523fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.40727477133764,41.40665254449294,8828034525fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.4149264353957,41.412051401556745,8828034527fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.428438868007,41.401439874892944,882803452bfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.44374186156166,41.41223372339725,8828034531fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.45139401506874,41.41762900571624,8828034533fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.43316088678488,41.41484186388749,8828034535fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.4408132345286,41.420237838896384,8828034537fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.4466699407307,41.40422905862214,8828034539fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.45432146214075,41.40962474298605,882803453bfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.43609014579597,41.40683734641522,882803453dfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.49550936086392,41.42858394292008,8828034581fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.48493191867053,41.4311965327684,8828034585fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.49258562434721,41.4365867426844,8828034587fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.49843255017049,41.42058059410466,8828034589fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.48785628812834,41.42319333032434,882803458dfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.47142700237846,41.44181078966753,88280345a1fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.47908153738153,41.44720128943269,88280345a3fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.4608456265321,41.44442155354154,88280345a5fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.46850035732172,41.44981274599487,88280345a7fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.47435309968365,41.43380828346901,88280345a9fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.48200700180108,41.439199185910944,88280345abfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.4637729043559,41.43641919460923,88280345adfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.49731611548998,41.4499777048496,88280345b1fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.48673650912934,41.452590693782824,88280345b5fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.49439191738591,41.45797900259634,88280345b7fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.48966134048182,41.44458899307836,88280345bdfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.49370338536272,41.407185278809195,88280345c1fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.48312810647494,41.40979746883906,88280345c5fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.49078011031293,41.41518957889811,88280345c7fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.48605201415863,41.40179276634913,88280345cdfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.4696258166989,41.420412827656676,88280345e1fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.47727864937583,41.42580522771851,88280345e3fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.45904660608183,41.42302319324946,88280345e5fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.46669963436534,41.42841628587449,88280345e7fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.47255145149501,41.41240882027521,88280345e9fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.48020365159346,41.41780162273539,88280345ebfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.46197342087532,41.415019332705064,88280345edfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.16593590303229,41.40749950641923,8828034801fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.173587187826,41.412918909309276,8828034803fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.15532708826147,41.41008466557079,8828034805fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.16297855288272,41.4155047629916,8828034807fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.17654335772755,41.404913498658956,882803480bfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.15828506625296,41.40207900980381,882803480dfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.1918460139405,41.41574982171341,8828034811fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.1994980128581,41.42116634235787,8828034813fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.18123892040053,41.41833721834709,8828034815fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.18889110052224,41.42375443340599,8828034817fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.19480037539681,41.40774465678806,8828034819fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.20245174585746,41.413161577054126,882803481bfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.1841944621524,41.41033220710493,882803481dfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.14175720300912,41.42067392315243,8828034821fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.14940947469469,41.42609431599856,8828034823fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.13114448901162,41.42325722881236,8828034825fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.1387969393173,41.42867831643436,8828034827fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.14471691388106,41.41266897570429,8828034829fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.15236855778836,41.41808976774242,882803482bfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.13410538035748,41.41525243641053,882803482dfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.16767319121813,41.428928070047576,8828034831fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.17532618027336,41.434345580060956,8828034833fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.15706219518079,41.43151361482185,8828034835fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.16471536423377,41.43693181949547,8828034837fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.17063046570253,41.42092376654552,8828034839fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.17828282648719,41.42634167610577,882803483bfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.16002065031192,41.423509465899166,882803483dfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.18714945188182,41.402326642699364,8828034857fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.14767607207217,41.4046634744101,8828034863fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.12941497284869,41.40182411049251,8828034865fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.13706571882337,41.407247089911884,8828034867fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.21950429180455,41.44541235132536,8828034881fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.22715870615411,41.450824094596115,8828034883fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.2088967445995,41.448002371880555,8828034885fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.21655134170143,41.45341480957705,8828034887fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.22245669004953,41.43740933924428,8828034889fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.2301104751463,41.442821482770796,882803488bfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.2118503238325,41.43999951344516,882803488dfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.24541938298444,41.45364248591651,8828034891fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.25307450525722,41.459051345285104,8828034893fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.23481356664705,41.456234743131866,8828034895fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.24246887304902,41.461644296807286,8828034897fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.24836934138366,41.445640121309054,8828034899fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.25602383391369,41.451049381287426,882803489bfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.23776470620267,41.448232531703354,882803489dfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.19533252143992,41.458593694162744,88280348a1fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.2029879298205,41.464006426191865,88280348a3fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.18472106656057,41.46118186294738,88280348a5fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.19237665648754,41.46659528964911,88280348a7fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.19828783399541,41.45059154402629,88280348a9fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.20594261330854,41.45600467623595,88280348abfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.18767756045698,41.45317986735256,88280348adfffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.22125351263895,41.466827656232226,88280348b1fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.22890963218785,41.47223750376784,88280348b3fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.21064378536452,41.469418063314215,88280348b5fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.21830008783786,41.474828605404284,88280348b7fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
-124.22420638536468,41.45882615252306,88280348b9fffff,0.10800000000000001,0.0,0.0,0.0,0.0,0.0
